"place"
"Kuril Islands"
"off the east coast of the Kamchatka Peninsula, Russia"
"Qinghai-Sichuan border region, China"
"off the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"Haiti region"
"off the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"Vanuatu"
"south of the Kermadec Islands"
"New Britain region, Papua New Guinea"
"Pakistan"
"Tonga"
"northern Qinghai, China"
"southeast Indian Ridge"
"western Sichuan, China"
"Kuril Islands"
"off the east coast of Honshu, Japan"
"west of Macquarie Island"
"Kermadec Islands, New Zealand"
"off the coast of Costa Rica"
"Hokkaido, Japan region"
"south of Africa"
"southern East Pacific Rise"
"off the coast of Oregon"
"offshore Coquimbo, Chile"
"eastern Xizang"
"Bougainville region, Papua New Guinea"
"Bougainville region, Papua New Guinea"
"Hokkaido, Japan region"
"6km WNW of Grapevine, CA"
"Easter Island region"
"Seram, Indonesia"
"Coquimbo, Chile"
"Lake Edward region, Uganda"
"western Sichuan, China"
"Taiwan region"
"Kuril Islands"
"Kuril Islands"
"South Atlantic Ocean"
"Samoa Islands"
"Myanmar-China border region"
"Banda Sea"
"San Juan, Argentina"
"Fiji region"
"west of Macquarie Island"
"Kepulauan Batu, Indonesia"
"southeast of the Ryukyu Islands, Japan"
"Hokkaido, Japan region"
"Hokkaido, Japan region"
"south of Panama"
"Hokkaido, Japan region"
"Costa Rica"
"Hokkaido, Japan region"
"Admiralty Islands region, Papua New Guinea"
"Apure, Venezuela"
"State of Yap, Federated States of Micronesia"
"South Sandwich Islands region"
"South Sandwich Islands region"
"Kepulauan Talaud, Indonesia"
"Mid-Indian Ridge"
"southwestern Ryukyu Islands, Japan"
"Mindanao, Philippines"
"off the east coast of the Kamchatka Peninsula, Russia"
"Kepulauan Talaud, Indonesia"
"Santa Cruz Islands"
"Santa Cruz Islands"
"Philippine Islands region"
"North Korea"
"southern Sumatra, Indonesia"
"Hokkaido, Japan region"
"Southeastern Alaska"
"Hokkaido, Japan region"
"near the west coast of Honshu, Japan"
"Hokkaido, Japan region"
"Gulf of California"
"Hokkaido, Japan region"
"Hokkaido, Japan region"
"Hokkaido, Japan region"
"Solomon Islands"
"Hokkaido, Japan region"
"Hokkaido, Japan region"
"Tonga"
"near the coast of Nicaragua"
"Tonga"
"Kepulauan Barat Daya, Indonesia"
"Lake Tanganyika region"
"Fox Islands, Aleutian Islands, Alaska"
"near the coast of northern Peru"
"southeast of Taiwan"
"Fox Islands, Aleutian Islands, Alaska"
"central East Pacific Rise"
"Easter Island region"
"Guerrero, Mexico"
"Gansu, China"
"eastern Xizang"
"west of Macquarie Island"
"Yunnan, China"
"South Indian Ocean"
"near the west coast of Colombia"
"Taiwan region"
"Taiwan region"
"Taiwan"
"Taiwan"
"New Britain region, Papua New Guinea"
"Tonga region"
"eastern Xizang"
"off the east coast of the Kamchatka Peninsula, Russia"
"eastern Xizang"
"off the east coast of the Kamchatka Peninsula, Russia"
"off the east coast of the Kamchatka Peninsula, Russia"
"off the east coast of the Kamchatka Peninsula, Russia"
"off the east coast of the Kamchatka Peninsula, Russia"
"off the east coast of the Kamchatka Peninsula, Russia"
"off the east coast of the Kamchatka Peninsula, Russia"
"off the east coast of the Kamchatka Peninsula, Russia"
"off the east coast of the Kamchatka Peninsula, Russia"
"east of the Kuril Islands"
"south of Alaska"
"Kuril Islands"
"Kuril Islands"
"Samar, Philippines"
"east of the South Sandwich Islands"
"Kepulauan Batu, Indonesia"
"Macquarie Island region"
"Taiwan"
"Taiwan"
"Taiwan"
"Taiwan region"
"Taiwan"
"Taiwan"
"Taiwan"
"Taiwan"
"Taiwan"
"Taiwan"
"Taiwan"
"Taiwan"
"Taiwan"
"Taiwan"
"Taiwan region"
"Taiwan"
"Taiwan"
"Taiwan"
"Taiwan"
"Taiwan"
"Hokkaido, Japan region"
"Shikoku, Japan"
"South Sandwich Islands region"
"New Britain region, Papua New Guinea"
"Kermadec Islands region"
"Kermadec Islands region"
"Kermadec Islands, New Zealand"
"Kermadec Islands region"
"east of the Kuril Islands"
"Tonga region"
"Kuril Islands"
"Tonga"
"southern East Pacific Rise"
"Hawaii region, Hawaii"
"Molucca Sea"
"central Turkey"
"Papua, Indonesia"
"New Britain region, Papua New Guinea"
"Honduras"
"southern East Pacific Rise"
"Banda Sea"
"off the east coast of Honshu, Japan"
"near the east coast of Honshu, Japan"
"central Mid-Atlantic Ridge"
"Bonin Islands, Japan region"
"Negros, Philippines"
"Tonga"
"Bismarck Sea"
"Mariana Islands region"
"Taiwan"
"Kermadec Islands region"
"Jan Mayen Island region"
"southeast of the Ryukyu Islands, Japan"
"Sabah, Malaysia"
"Luzon, Philippines"
"Ceram Sea, Indonesia"
"Papua, Indonesia"
"offshore Libertador O'Higgins, Chile"
"Mozambique"
"Mid-Indian Ridge"
"south of Tasmania"
"D'Entrecasteaux Islands region"
"off the east coast of the North Island of New Zealand"
"eastern Xizang-India border region"
"southeastern Sakha, Russia"
"Tajikistan"
"Sumba region, Indonesia"
"Tonga"
"New Britain region, Papua New Guinea"
"Kamchatka Peninsula, Russia"
"eastern Xizang"
"Hokkaido, Japan region"
"Kepulauan Alor, Indonesia"
"near the north coast of New Guinea, Papua New Guinea"
"southern East Pacific Rise"
"southern East Pacific Rise"
"south of Alaska"
"southwestern Sakha, Russia"
"North Island of New Zealand"
"Taiwan region"
"South Indian Ocean"
"South Sandwich Islands region"
"Pacific-Antarctic Ridge"
"Mozambique Channel"
"Andreanof Islands, Aleutian Islands, Alaska"
"near the south coast of Papua, Indonesia"
"near the east coast of Honshu, Japan"
"Panama"
"offshore Araucania, Chile"
"western Xizang"
"Seram, Indonesia"
"Guerrero, Mexico"
"Tonga"
"near the coast of central Peru"
"Antofagasta, Chile"
"Vanuatu"
"Vanuatu"
"Arunachal Pradesh, India"
"Vanuatu"
"northern Mid-Atlantic Ridge"
"Samoa Islands region"
"Samoa Islands region"
"Andreanof Islands, Aleutian Islands, Alaska"
"offshore Guerrero, Mexico"
"Solomon Islands"
"Solomon Islands"
"Shikoku, Japan"
"Banda Sea"
"south of the Kermadec Islands"
"Guatemala"
"Guatemala"
"off the coast of Colima, Mexico"
"Tonga"
"south of the Kermadec Islands"
"Solomon Islands"
"New Britain region, Papua New Guinea"
"Arunachal Pradesh, India"
"Banda Sea"
"Costa Rica"
"Vanuatu"
"Arunachal Pradesh, India"
"off the coast of Jalisco, Mexico"
"Taiwan"
"Fiji region"
"Easter Island region"
"Papua, Indonesia"
"central East Pacific Rise"
"Molucca Sea"
"Arunachal Pradesh-Assam region, India"
"near the east coast of Honshu, Japan"
"New Ireland region, Papua New Guinea"
"Fox Islands, Aleutian Islands, Alaska"
"Seram, Indonesia"
"Nias region, Indonesia"
"Arunachal Pradesh-Assam region, India"
"Myanmar"
"eastern Xizang-India border region"
"eastern Xizang-India border region"
"Arunachal Pradesh, India"
"Arunachal Pradesh, India"
"Arunachal Pradesh, India"
"eastern Xizang-India border region"
"Santiago Del Estero, Argentina"
"Auckland Islands, New Zealand region"
"Lara, Venezuela"
"south of the Mariana Islands"
"Hokkaido, Japan region"
"Bougainville region, Papua New Guinea"
"Molucca Sea"
"Vanuatu"
"Fiji region"
"Mindanao, Philippines"
"Fox Islands, Aleutian Islands, Alaska"
"Acre, Brazil"
"southern East Pacific Rise"
"Solomon Islands"
"Solomon Islands"
"State of Yap, Federated States of Micronesia"
"Hokkaido, Japan region"
"Mindanao, Philippines"
"Vanuatu"
"near the north coast of New Guinea, Papua New Guinea"
"Vanuatu"
"Java, Indonesia"
"west of Macquarie Island"
"southern Mid-Atlantic Ridge"
"Ryukyu Islands, Japan"
"Vanuatu"
"Vanuatu"
"Vanuatu"
"Loyalty Islands, New Caledonia"
"Vanuatu"
"Vanuatu"
"Mozambique Channel"
"Turkmenistan"
"west of Macquarie Island"
"Easter Island region"
"near the south coast of western Honshu, Japan"
"southeast of Easter Island"
"Russia-Mongolia border region"
"southern Sumatra, Indonesia"
"Near Islands, Aleutian Islands, Alaska"
"South Sandwich Islands region"
"Panay, Philippines"
"Scotia Sea"
"southeast Indian Ridge"
"Hokkaido, Japan region"
"Ryukyu Islands, Japan"
"central Mongolia"
"south of the Fiji Islands"
"Prince Edward Islands region"
"Auckland Islands, New Zealand region"
"Myanmar"
"Myanmar"
"Magallanes y Antartica Chilena, Chile"
"northern East Pacific Rise"
"off the coast of Aisen, Chile"
"Luzon, Philippines"
"Santa Cruz Islands"
"Luzon, Philippines"
"east of the South Sandwich Islands"
"Fiji region"
"eastern Honshu, Japan"
"eastern Honshu, Japan"
"Tierra del Fuego, Magallanes, Chile"
"Tierra del Fuego, Magallanes, Chile"
"Tonga"
"Gulf of California"
"Vanuatu"
"Southwest Indian Ridge"
"central Mid-Atlantic Ridge"
"Kenai Peninsula, Alaska"
"Bougainville region, Papua New Guinea"
"Kermadec Islands, New Zealand"
"Molucca Sea"
"Haida Gwaii, Canada"
"Haida Gwaii, Canada"
"eastern Turkey"
"Federated States of Micronesia region"
"Ecuador"
"Kermadec Islands region"
"near the coast of western Turkey"
"Tajikistan"
"Tajikistan"
"Tajikistan"
"Mariana Islands region"
"Sunda Strait, Indonesia"
"northern Sumatra, Indonesia"
"Flores Sea"
"Araucania, Chile"
"Puget Sound region, Washington"
"Molucca Sea"
"off the coast of Northern California"
"New Britain region, Papua New Guinea"
"New Britain region, Papua New Guinea"
"Hindu Kush region, Afghanistan"
"South Sandwich Islands region"
"southern Xinjiang, China"
"south of the Kermadec Islands"
"South Indian Ocean"
"Komandorskiye Ostrova, Russia region"
"off the coast of Nayarit, Mexico"
"New Guinea, Papua New Guinea"
"Turkmenistan"
"Taiwan region"
"Kuril Islands"
"Tonga"
"Salta, Argentina"
"near the coast of southern Peru"
"near the south coast of western Honshu, Japan"
"Greece"
"Samoa Islands region"
"near the west coast of Honshu, Japan"
"near the south coast of western Honshu, Japan"
"western Sichuan, China"
"South Island of New Zealand"
"Alaska Peninsula"
"off the east coast of Honshu, Japan"
"southern Peru"
"Kyushu, Japan"
"Greece"
"Dominican Republic"
"near the south coast of western Honshu, Japan"
"Molucca Sea"
"Philippine Islands region"
"Seram, Indonesia"
"Xinjiang-Xizang border region"
"Dodecanese Islands, Greece"
"Molucca Sea"
"Fiji region"
"Panay, Philippines"
"south of the Kermadec Islands"
"Near Islands, Aleutian Islands, Alaska"
"Guerrero, Mexico"
"Pacific-Antarctic Ridge"
"southeast of the Loyalty Islands"
"eastern Sea of Japan"
"central Peru"
"Central Alaska"
"southern Greece"
"eastern Iran"
"Kuril Islands"
"Cuba region"
"southwestern Pakistan"
"eastern Xizang-India border region"
"South Sandwich Islands region"
"Mariana Islands region"
"Mariana Islands region"
"Molucca Sea"
"Leyte, Philippines"
"near the north coast of Papua, Indonesia"
"New Britain region, Papua New Guinea"
"central Mid-Atlantic Ridge"
"east of the Kuril Islands"
"34km SSE of Fort Irwin, CA"
"near the north coast of Papua, Indonesia"
"North Island of New Zealand"
"Qinghai-Sichuan border region, China"
"near the north coast of New Guinea, Papua New Guinea"
"western Xizang"
"Solomon Islands"
"east of the Kuril Islands"
"east of the Kuril Islands"
"near the south coast of western Honshu, Japan"
"Taiwan region"
"Tonga"
"central Peru"
"western Xizang"
"Turkmenistan"
"Kyrgyzstan"
"Andreanof Islands, Aleutian Islands, Alaska"
"Unimak Island region, Alaska"
"Scotia Sea"
"near the east coast of the Kamchatka Peninsula, Russia"
"near the east coast of the Kamchatka Peninsula, Russia"
"central Peru"
"New Ireland region, Papua New Guinea"
"Myanmar"
"Solomon Islands"
"Dominican Republic region"
"Dominican Republic region"
"Atacama, Chile"
"near the coast of Tarapaca, Chile"
"South Island of New Zealand"
"Vancouver Island, Canada region"
"Ceram Sea, Indonesia"
"Taiwan region"
"Martinique region, Windward Islands"
"southern Sumatra, Indonesia"
"New Ireland region, Papua New Guinea"
"north of Ascension Island"
"south of Alaska"
"southern Sumatra, Indonesia"
"13km WNW of Inyokern, CA"
"Kenai Peninsula, Alaska"
"Heilongjiang, China"
"Vanuatu"
"New Britain region, Papua New Guinea"
"New Britain region, Papua New Guinea"
"off the coast of Pakistan"
"Sulawesi, Indonesia"
"Kuril Islands"
"off the coast of El Salvador"
"Vanuatu"
"New Britain region, Papua New Guinea"
"off the west coast of the South Island of New Zealand"
"Vanuatu"
"Ryukyu Islands, Japan"
"Andaman Islands, India region"
"Taiwan region"
"northern Sumatra, Indonesia"
"east central Pacific Ocean"
"Gulf of California"
"Himachal Pradesh, India"
"western Xizang-India border region"
"off the coast of Northern California"
"southeast of the Loyalty Islands"
"Mid-Indian Ridge"
"near the east coast of the Kamchatka Peninsula, Russia"
"Balleny Islands region"
"Volcano Islands, Japan region"
"off the east coast of Honshu, Japan"
"Hokkaido, Japan region"
"near the south coast of Honshu, Japan"
"New Britain region, Papua New Guinea"
"Antofagasta, Chile"
"China-North Korea border region"
"Andreanof Islands, Aleutian Islands, Alaska"
"Vanuatu"
"Mauritius - Reunion region"
"near the south coast of western Honshu, Japan"
"Vanuatu"
"Drake Passage"
"Santa Cruz Islands"
"Kepulauan Talaud, Indonesia"
"western Xizang"
"near the coast of Ecuador"
"western Xizang"
"Halmahera, Indonesia"
"near the coast of western Turkey"
"southeast of the Loyalty Islands"
"Tajikistan-Xinjiang border region"
"near the east coast of the Kamchatka Peninsula, Russia"
"Molucca Sea"
"southern East Pacific Rise"
"offshore Chiapas, Mexico"
"southeast of the Loyalty Islands"
"New Ireland region, Papua New Guinea"
"Fiji region"
"New Ireland region, Papua New Guinea"
"near the north coast of Papua, Indonesia"
"near the north coast of Papua, Indonesia"
"Banda Sea"
"northern Xinjiang, China"
"northern Xinjiang, China"
"Maldive Islands region"
"Taiwan"
"central Turkey"
"San Juan, Argentina"
"Guerrero, Mexico"
"southern Sumatra, Indonesia"
"New Ireland region, Papua New Guinea"
"Taiwan region"
"Catamarca, Argentina"
"central Turkey"
"Taiwan region"
"Kepulauan Aru region, Indonesia"
"Southern Alaska"
"South Sandwich Islands region"
"Tonga region"
"Assam, India"
"Fiji region"
"Kermadec Islands, New Zealand"
"Kermadec Islands, New Zealand"
"southeast of the Loyalty Islands"
"southeast of the Loyalty Islands"
"Tonga"
"western Honshu, Japan"
"Macquarie Island region"
"off the west coast of the South Island of New Zealand"
"Puerto Rico region"
"Java, Indonesia"
"south of the Kermadec Islands"
"off the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"southern Sumatra, Indonesia"
"southern Sumatra, Indonesia"
"Philippine Islands region"
"Coquimbo, Chile"
"Catanduanes, Philippines"
"south of Panama"
"near the east coast of Honshu, Japan"
"Coquimbo, Chile"
"Sunda Strait, Indonesia"
"South Sandwich Islands region"
"New Britain region, Papua New Guinea"
"Fiji region"
"southeast of the Loyalty Islands"
"southeast of the Loyalty Islands"
"South Sandwich Islands region"
"south of Panama"
"offshore Guerrero, Mexico"
"near the coast of Ecuador"
"eastern Uzbekistan"
"central Turkey"
"Izu Islands, Japan region"
"central Mid-Atlantic Ridge"
"near the east coast of Honshu, Japan"
"Oaxaca, Mexico"
"south of Africa"
"Tonga"
"Kuril Islands"
"17km WSW of Westmorland, CA"
"Mindanao, Philippines"
"Taiwan"
"central Peru"
"off the east coast of the Kamchatka Peninsula, Russia"
"offshore Guatemala"
"southeast Indian Ridge"
"North Island of New Zealand"
"Ceram Sea, Indonesia"
"Leyte, Philippines"
"Antofagasta, Chile"
"North Island of New Zealand"
"State of Yap, Federated States of Micronesia"
"Mariana Islands region"
"Mindanao, Philippines"
"south of the Kermadec Islands"
"Ecuador"
"north of Ascension Island"
"Mindoro, Philippines"
"Ryukyu Islands, Japan"
"near the east coast of Honshu, Japan"
"China-Laos border region"
"near the south coast of Papua, Indonesia"
"Myanmar-China border region"
"Taiwan"
"off the coast of Costa Rica"
"Costa Rica"
"Azores-Cape St. Vincent Ridge"
"Kermadec Islands region"
"Kyushu, Japan"
"Scotia Sea"
"Minahasa, Sulawesi, Indonesia"
"Alaska Peninsula"
"eastern New Guinea region, Papua New Guinea"
"Masbate region, Philippines"
"Samoa Islands region"
"offshore Northern California"
"east of the Kuril Islands"
"central Peru"
"Kermadec Islands region"
"30km NE of Hawthorne, NV"
"off the coast of Jalisco, Mexico"
"near the north coast of Papua, Indonesia"
"Bougainville region, Papua New Guinea"
"New Ireland region, Papua New Guinea"
"North Atlantic Ocean"
"Kermadec Islands, New Zealand"
"Kenai Peninsula, Alaska"
"Northern Territory, Australia"
"Andaman Islands, India region"
"Santa Cruz Islands"
"Myanmar-China border region"
"off the coast of Northern California"
"Luzon, Philippines"
"Western Australia"
"Tajikistan"
"Michoacan, Mexico"
"Jamaica region"
"Kodiak Island region, Alaska"
"Kuril Islands"
"eastern Iran"
"near the coast of Oaxaca, Mexico"
"New Britain region, Papua New Guinea"
"offshore Northern California"
"Bhutan"
"New Britain region, Papua New Guinea"
"Minahasa, Sulawesi, Indonesia"
"Mariana Islands region"
"Fiji region"
"126km S of Estacion Coahuila, B.C., MX"
"Seram, Indonesia"
"New Ireland region, Papua New Guinea"
"near the east coast of Honshu, Japan"
"Romania"
"Costa Rica"
"Isla Chiloe, Los Lagos, Chile"
"near the coast of Tarapaca, Chile"
"near the coast of Tarapaca, Chile"
"Macquarie Island region"
"Atacama, Chile"
"southeast of the Loyalty Islands"
"New Britain region, Papua New Guinea"
"south of the Aleutian Islands"
"Sea of Japan"
"eastern Sea of Japan"
"Guatemala"
"Celebes Sea"
"northern Yukon Territory, Canada"
"near the north coast of Papua, Indonesia"
"near the coast of central Peru"
"near the coast of central Peru"
"4km N of Holtville, CA"
"northeastern Iran"
"central Mid-Atlantic Ridge"
"Near Islands, Aleutian Islands, Alaska"
"Near Islands, Aleutian Islands, Alaska"
"Papua, Indonesia"
"Rat Islands, Aleutian Islands, Alaska"
"south of Java, Indonesia"
"west of Macquarie Island"
"near the north coast of New Guinea, Papua New Guinea"
"Near Islands, Aleutian Islands, Alaska"
"west of the Bonin Islands, Japan"
"Mariana Islands region"
"eastern Turkey"
"Costa Rica"
"Sulawesi, Indonesia"
"Kuril Islands"
"Guatemala"
"off the east coast of Honshu, Japan"
"western Turkey"
"Near Islands, Aleutian Islands, Alaska"
"Santa Cruz Islands"
"Vanuatu"
"Tristan da Cunha region"
"Fiji region"
"Vancouver Island, Canada region"
"Papua, Indonesia"
"Mindanao, Philippines"
"Ghana"
"near the south coast of Papua, Indonesia"
"Kepulauan Talaud, Indonesia"
"Myanmar-India border region"
"Papua, Indonesia"
"Volcano Islands, Japan region"
"Andreanof Islands, Aleutian Islands, Alaska"
"Azores Islands region"
"off the coast of Central America"
"Baja California, Mexico"
"near the west coast of Honshu, Japan"
"near the west coast of Honshu, Japan"
"Solomon Islands"
"Primor'ye, Russia"
"Atacama, Chile"
"Vanuatu"
"Tonga"
"South Indian Ocean"
"Kyushu, Japan"
"Bougainville region, Papua New Guinea"
"off the east coast of Honshu, Japan"
"Solomon Islands"
"Solomon Islands"
"Bio-Bio, Chile"
"Sumbawa region, Indonesia"
"western Mongolia"
"off the west coast of the South Island of New Zealand"
"South Island of New Zealand"
"Kodiak Island region, Alaska"
"near the east coast of Honshu, Japan"
"Taiwan region"
"off the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"Alaska Peninsula"
"southwest of Sumatra, Indonesia"
"New Britain region, Papua New Guinea"
"off the east coast of Honshu, Japan"
"Alaska Peninsula"
"Alaska Peninsula"
"off the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"Savu Sea"
"Russia-Mongolia border region"
"Taiwan"
"off the east coast of Honshu, Japan"
"Molucca Sea"
"Molucca Sea"
"Macquarie Island region"
"Solomon Islands"
"New Britain region, Papua New Guinea"
"Ethiopia"
"near the east coast of Honshu, Japan"
"Taiwan"
"near the north coast of New Guinea, Papua New Guinea"
"Samar, Philippines"
"southwest of Sumatra, Indonesia"
"southern Sumatra, Indonesia"
"Myanmar-India border region"
"Kepulauan Batu, Indonesia"
"off the coast of Jalisco, Mexico"
"southeast of the Loyalty Islands"
"Tonga"
"Vanuatu"
"Kyrgyzstan"
"Ryukyu Islands, Japan"
"southwestern Ryukyu Islands, Japan"
"Buru, Indonesia"
"Loyalty Islands, New Caledonia"
"Luzon, Philippines"
"near the east coast of Honshu, Japan"
"Makassar Strait, Indonesia"
"eastern New Guinea region, Papua New Guinea"
"offshore Guerrero, Mexico"
"southeast Indian Ridge"
"south of the Fiji Islands"
"central Turkey"
"Scotia Sea"
"Fiji region"
"Haida Gwaii, Canada"
"New Ireland region, Papua New Guinea"
"off the east coast of the North Island of New Zealand"
"Banda Sea"
"Scotia Sea"
"Maui region, Hawaii"
"near the south coast of western Honshu, Japan"
"New Ireland region, Papua New Guinea"
"offshore Oaxaca, Mexico"
"central Peru"
"Guerrero, Mexico"
"off the coast of Jalisco, Mexico"
"eastern Uzbekistan"
"Taiwan"
"Taiwan region"
"Taiwan region"
"Lake Rudolf region, Kenya-Ethiopia"
"off the west coast of northern Sumatra"
"Kepulauan Batu, Indonesia"
"Kashmir-Xinjiang border region"
"near the east coast of Honshu, Japan"
"south of Tonga"
"Java, Indonesia"
"Bougainville region, Papua New Guinea"
"South Sandwich Islands region"
"Solomon Islands"
"south of the Kermadec Islands"
"Myanmar"
"Tonga region"
"Luzon, Philippines"
"Bali Sea"
"Henan-Shandong border region, China"
"Henan-Shandong border region, China"
"near the east coast of Honshu, Japan"
"Central Alaska"
"Izu Islands, Japan region"
"Santa Cruz Islands region"
"Solomon Islands"
"Vanuatu"
"off the west coast of northern Sumatra"
"near the coast of northern Peru"
"Alaska Peninsula"
"Fiji region"
"near the north coast of Papua, Indonesia"
"near the coast of Antofagasta, Chile"
"Costa Rica"
"Kuril Islands"
"Kuril Islands"
"Solomon Islands"
"New Ireland region, Papua New Guinea"
"southern Qinghai, China"
"southeast of Shikoku, Japan"
"New Ireland region, Papua New Guinea"
"near the coast of Guatemala"
"Kermadec Islands, New Zealand"
"Sunda Strait, Indonesia"
"southeast of the Loyalty Islands"
"offshore Guatemala"
"Guatemala"
"off the east coast of the Kamchatka Peninsula, Russia"
"near the east coast of Honshu, Japan"
"Kuril Islands"
"Guam region"
"Kepulauan Sula, Indonesia"
"New Ireland region, Papua New Guinea"
"Molucca Sea"
"Kermadec Islands, New Zealand"
"Minahasa, Sulawesi, Indonesia"
"northern Sumatra, Indonesia"
"Izu Islands, Japan region"
"western Indian-Antarctic Ridge"
"northern Sumatra, Indonesia"
"Taiwan region"
"Bougainville region, Papua New Guinea"
"Mindanao, Philippines"
"near the north coast of New Guinea, Papua New Guinea"
"near the north coast of New Guinea, Papua New Guinea"
"near the coast of Antofagasta, Chile"
"Antofagasta, Chile"
"Mindanao, Philippines"
"off the east coast of the Kamchatka Peninsula, Russia"
"northern East Pacific Rise"
"Nepal"
"Bismarck Sea"
"San Luis, Argentina"
"north of the Solomon Islands"
"Solomon Islands"
"Flores region, Indonesia"
"eastern Sichuan, China"
"New Britain region, Papua New Guinea"
"eastern Sichuan, China"
"Andaman Islands, India region"
"Solomon Islands"
"State of Yap, Federated States of Micronesia"
"New Ireland region, Papua New Guinea"
"Kepulauan Talaud, Indonesia"
"Kepulauan Talaud, Indonesia"
"Solomon Islands"
"Samoa Islands region"
"Hokkaido, Japan region"
"southeast Indian Ridge"
"Auckland Islands, New Zealand region"
"Auckland Islands, New Zealand region"
"near the north coast of New Guinea, Papua New Guinea"
"near the south coast of Papua, Indonesia"
"eastern New Guinea region, Papua New Guinea"
"Gansu, China"
"Tonga"
"Mindanao, Philippines"
"southeast of the Loyalty Islands"
"Vanuatu"
"South Sandwich Islands region"
"Kepulauan Batu, Indonesia"
"Sumba region, Indonesia"
"Seram, Indonesia"
"Kepulauan Batu, Indonesia"
"south of Panama"
"Solomon Islands"
"southeast of Taiwan"
"Solomon Islands"
"Chiapas, Mexico"
"Macquarie Island region"
"Ryukyu Islands, Japan"
"Ryukyu Islands, Japan"
"Panama"
"off the west coast of northern Sumatra"
"south of the Fiji Islands"
"New Britain region, Papua New Guinea"
"Vietnam"
"off the east coast of Honshu, Japan"
"Mariana Islands region"
"off the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"near the north coast of New Guinea, Papua New Guinea"
"Tajikistan"
"Kuril Islands"
"near the north coast of New Guinea, Papua New Guinea"
"near the north coast of New Guinea, Papua New Guinea"
"near the north coast of New Guinea, Papua New Guinea"
"New Guinea, Papua New Guinea"
"New Britain region, Papua New Guinea"
"Easter Island region"
"Kuril Islands"
"Palau region"
"Taiwan region"
"southwest of Sumatra, Indonesia"
"southeast of the Loyalty Islands"
"northern Sumatra, Indonesia"
"Sumba region, Indonesia"
"southern Qinghai, China"
"near the east coast of Honshu, Japan"
"South Sandwich Islands region"
"eastern Uzbekistan"
"offshore Michoacan, Mexico"
"Pakistan"
"Samar, Philippines"
"eastern New Guinea region, Papua New Guinea"
"southern East Pacific Rise"
"South Sandwich Islands region"
"Laos"
"Taiwan"
"near the coast of Libya"
"northern Iran"
"off the east coast of Honshu, Japan"
"Kermadec Islands, New Zealand"
"Solomon Islands"
"Near Islands, Aleutian Islands, Alaska"
"Fox Islands, Aleutian Islands, Alaska"
"Loyalty Islands, New Caledonia"
"western Turkey"
"western Turkey"
"western Xizang"
"Tonga"
"5km S of Alberto Oviedo Mota, B.C., MX"
"24km SSE of Estacion Coahuila, B.C., MX"
"near the coast of Nicaragua"
"Admiralty Islands region, Papua New Guinea"
"western Xizang"
"Tarapaca, Chile"
"offshore Jalisco, Mexico"
"Molucca Sea"
"west of Macquarie Island"
"New Ireland region, Papua New Guinea"
"Bismarck Sea"
"southeast of the Loyalty Islands"
"south of the Fiji Islands"
"southeast of the Ryukyu Islands, Japan"
"Santa Cruz Islands"
"southeast of the Loyalty Islands"
"Tajikistan"
"Baffin Bay"
"Vanuatu"
"Mindanao, Philippines"
"New Britain region, Papua New Guinea"
"Taiwan"
"Santa Cruz Islands"
"Papua, Indonesia"
"south of Alaska"
"Panama-Costa Rica border region"
"Santa Cruz Islands"
"Vanuatu"
"Santa Cruz Islands"
"near the north coast of Papua, Indonesia"
"Santa Cruz Islands"
"Santa Cruz Islands"
"south of Panama"
"south of Panama"
"south of Panama"
"south of Panama"
"off the coast of Northern California"
"Iran-Pakistan border region"
"Kuril Islands"
"New Ireland region, Papua New Guinea"
"Southern Alaska"
"southeast of the Loyalty Islands"
"Samoa Islands region"
"Mindanao, Philippines"
"Bali Sea"
"Solomon Islands"
"New Britain region, Papua New Guinea"
"North Island of New Zealand"
"Santa Cruz Islands region"
"Utah"
"North Island of New Zealand"
"Los Lagos, Chile"
"New Britain region, Papua New Guinea"
"New Britain region, Papua New Guinea"
"Volcano Islands, Japan region"
"Kepulauan Mentawai region, Indonesia"
"Philippine Islands region"
"Laos"
"New Britain region, Papua New Guinea"
"Nevada"
"Banda Sea"
"southern Iran"
"New Britain region, Papua New Guinea"
"near the south coast of Papua, Indonesia"
"Tonga"
"Guerrero, Mexico"
"western Nei Mongol, China"
"Nepal-India border region"
"Bismarck Sea"
"Michoacan, Mexico"
"offshore Colima, Mexico"
"New Britain region, Papua New Guinea"
"South Atlantic Ocean"
"central Iran"
"New Britain region, Papua New Guinea"
"Baffin Bay"
"Vanuatu"
"Andreanof Islands, Aleutian Islands, Alaska"
"South Shetland Islands"
"near the coast of Ecuador"
"southern Xinjiang, China"
"Andreanof Islands, Aleutian Islands, Alaska"
"Santa Cruz Islands"
"South Sandwich Islands region"
"western Sichuan, China"
